name,category,address,phone,website,rating,status,channel,replied,last_contacted,follow_up_date,instagram,notes
InFORM Architects,Architect,"2nd Floor, 422, 9th Main Rd, Siddanna Layout, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070, India",+91 80 2671 3360,https://www.facebook.com/InFORMarchitects,4.5,Contacted,,,,,,first DM sent waiting on reply
Kruti Architects,Architect,"302, 3rd Floor, Pride Hulkul, 116, Lal Bagh Main Rd, SGN Layout, Vinobha Nagar, Sudhama Nagar, Bengaluru, Karnataka 560027, India",+91 80 2222 0068,http://www.kruti.in/,4.8,Contacted,,,2026-07-12,,,              
Living Edge Architects & Designers (LEAD),Architect,"50, 16th Main Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560008, India",+91 80 4125 0257,http://www.lead.co.in/,4.5,Not Contacted,,,2026-06-25,,,              
Balan and Nambisan Architects,Architect,"226, 1st 'C, Cross, 18th Main Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560008, India",+91 80 2521 7544,https://bnarchitects.co.in/,4.4,Not Contacted,,,,,,they are very good DM once the Cafe is complete.
Ochre Architects,Architect,"6th block, 20, Outer Ring Rd, 6th block, 3rd Phase, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085, India",+91 99865 03091,http://www.ochre.in/,4.2,Contacted,Instagram,,,,,finish exterior projec tthen reach out to them
Raineo Architects,Architect,"1st Floor, Raineo Associates,Shanker house,Mekhri circle, CV Raman Rd, Raj Mahal Vilas Extension, Armane Nagar, Bengaluru, Karnataka 560080, India",+91 80 2361 6600,http://raineoarchitects.com/,4.8,Contacted,Instagram,,,,,first DM sent
Sundaram Architects,Architect,"19, 3rd Floor, Kumarakrupa Rd, Madhava Nagar, Gandhi Nagar, Bengaluru, Karnataka 560001, India",+91 80 2238 0701,https://www.sundaramarchitects.com/,4.3,Contacted,Instagram,,,,,
ENSEMBLEE - NATIONAL AWARD WINNING ARCHITECTS FIRM,Architect,"3rd floor, 13th Main Road, 3668, 8th - Cross Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560071, India",+91 99011 55502,,4.9,Not Contacted,,,2026-06-21,2026-06-24,,
Studio 69 architects,Architect,"69, 11th B Main Rd, 5th Block, Jayanagar, Bengaluru, Karnataka 560041, India",+91 80 2244 0702,http://studio69india.com/,4.6,Contacted,Instagram,Yes,2026-06-21,2026-06-24,,
KAF - Architects,Architect,"1872, 38, A Cross, 11th A Main Rd, 4th T Block East, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka 560041, India",+91 80 2244 2734,http://www.kembhaviarchitects.com/,4.5,Not Contacted,,,,,,
Hundredhands,Architect,"9/2, Madras Bank Road, Near-M G Road, St Marks Road, Private Rd, next to nexa showroom, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",+91 80 2559 3606,http://hundredhands.com/,4.7,Contacted,Instagram,,,,,
Vivek Shankar Architects,Architect,"8th Main Road, No. 2230/1, 16th B Cross Rd, D Block, Sahakar Nagar, Bengaluru, Karnataka 560092, India",+91 80 4095 2203,http://www.vivekshankararchitects.com/,4.6,Contacted,Instagram,,,,,
SWBI Architects Pvt. Ltd.,Architect,"3rd Floor, No, 2M - 315, 2nd Main Rd, East of NGEF Layout, Kasturi Nagar, Bengaluru, Karnataka 560043, India",+91 80 4153 8333,http://www.swbiarchitects.com/,4.3,Contacted,Instagram,,,,,
DEEJOS Architects & Constructions - Bangalore,Architect,"First Floor, Rohan Plaza, 17th Cross Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India",+91 80733 57184,https://www.deejos.com/architects-in-bangalore.html,4.5,Contacted,Instagram,,,,,
Innovarch Architects,Architect,"47, St Mark's Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",,,4.7,Contacted,Instagram,,,,,
North Wind Architecture + Design,Architect,"2/12, 5th Cross Rd, Maruti Nagar, 1st Stage, BTM 1st Stage, Bengaluru, Karnataka 560068, India",+91 90363 43535,,4.9,Contacted,Instagram,,,,,
Montimers Architects and Interior Designers,Architect,"12, New No 3, Kurichethu, Chandra Reddy Layout Viveknagar, 3rd Main Rd, 4th Block, Koramangala, Bengaluru, Karnataka 560047, India",+91 80 2553 4834,http://www.montimers.in/,4.7,Contacted,Instagram,,,,,
"RSP Design Consultants (India) Pvt Ltd, Bangalore",Architect,"RSP House, 30, Museum Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",+91 80 4196 6868,https://rspindia.net/,4.5,Contacted,Instagram,,,,,
DB ARCHITECTS PVT LTD,Architect,"No 400/2, Hoodi Circle, Whitefield main road, Hoodi, KEB Colony, Industrial Area, Mahadevapura, Bengaluru, Karnataka 560048, India",+91 96060 92220,http://dbarchitects.in/,4.9,Not Contacted,,,,,,
A360 architects,Architect,"First Floor, 981, 12th A Main Rd, HAL 2nd Stage, Doopanahalli, Indiranagar, Bengaluru, Karnataka 560008, India",+91 98450 38192,https://a360architects.com/,4.4,Contacted,Instagram,,,,,
Kamat & Rozario Architecture,Architect,"37/12-1 Meanne Avenue Road, Tank Road Ulsoor, Bangalore Near Ulsoor Lake, Kensington Rd, behind A2B on, Bengaluru, Karnataka 560042, India",+91 80 4851 4366,http://www.kamatrozario.com/,4.7,Contacted,Instagram,Yes,2026-06-22,2026-07-06,,
Mindspace Architects,Architect,"3, Kalpana Chawla Rd, RMV Extension, Bhoopasandra New Extension, Stage 2, Sanjayanagara, Bengaluru, Karnataka 560094, India",+91 80 2351 5501,http://www.mindspacearchitects.com/,4.4,Contacted,Instagram,No,2026-06-22,2026-06-25,,
MARS Architects™,Architect,"529, 15th cross, 17th Main Rd, Sector 4, HSR Layout, Bengaluru, Karnataka 560102, India",+91 90488 98933,https://www.marsarchitects.in/,4.8,Contacted,Instagram,No,2026-06-22,2026-06-25,,
Urban Architects X Spacelivo,Architect,"No.2m, VR Heights, 154, 2nd Main Rd, East of NGEF Layout, Kasturi Nagar, Bengaluru, Karnataka 560043, India",+91 95386 98091,http://www.urbanarchitects.co.in/,4.8,Contacted,Instagram,No,2026-06-22,2026-06-25,,
SENSCAPE Architects Pvt Ltd,Architect,"5, First Floor, 2nd Main Rd, NR Colony, Bengaluru, Karnataka 560004, India",+91 80 2660 0319,http://www.senscape.in/,4.6,Contacted,Instagram,No,2026-06-22,2026-06-25,,
Ashwin Architects,Architect,"23, Ratna Villas Road, Basavanagudi, Bengaluru, Karnataka 560004, India",+91 70265 24524,http://www.ashwinarchitects.com/,4.3,Contacted,Instagram,No,2026-06-22,2026-06-25,,
OWAIZ ARCHITECTS,Architect,"No. 92, Zed Square, Level 4, Jyoti Nivas College Rd, 5th Block, Koramangala, Bengaluru, Karnataka 560095, India",+91 80 4835 4631,http://owaizarchitects.com/,4.9,Not Contacted,,,,,,
